Mitigated agent 3: deviation=129.11, median=8.51, weight=0.04, threshold=123.89, original=137.62, new=132.41
Mitigated agent 0: deviation=326151.41, median=-102332.79, weight=0.12, threshold=286606.38, original=223818.62, new=184273.59
Mitigated agent 2: deviation=4186854.14, median=1157214.99, weight=0.80, threshold=417986.61, original=-3029639.15, new=319844.17
Mitigated agent 2: deviation=4261911.86, median=1223471.73, weight=0.09, threshold=3885369.89, original=-3038440.13, new=-2661898.16
Mitigated agent 0: deviation=1893102.92, median=587316.35, weight=0.31, threshold=1308856.37, original=-1305786.57, new=-721540.02
Mitigated agent 0: deviation=152559530.61, median=13697454.81, weight=0.20, threshold=121538385.15, original=-138862075.80, new=-107840930.35
Mitigated agent 0: deviation=284579913.23, median=979754.43, weight=0.55, threshold=126895197.40, original=285559667.67, new=127874951.83
Mitigated agent 3: deviation=113581973.23, median=-64802.71, weight=0.22, threshold=89047543.79, original=113517170.52, new=88982741.08
Mitigated agent 0: deviation=351939126.08, median=45284405.18, weight=0.41, threshold=206336230.63, original=-306654720.90, new=-161051825.46
Mitigated agent 0: deviation=238860664.17, median=38953101.68, weight=0.20, threshold=190658552.37, original=277813765.85, new=229611654.05
Mitigated agent 2: deviation=231591090.07, median=82543348.37, weight=0.35, threshold=150283662.73, original=-149047741.70, new=-67740314.36
Mitigated agent 3: deviation=397999488.90, median=82543348.37, weight=0.62, threshold=150283662.73, original=-315456140.53, new=-67740314.36
Mitigated agent 2: deviation=30338488.54, median=52010349.65, weight=0.52, threshold=14643778.12, original=21671861.10, new=37366571.52
Mitigated agent 0: deviation=194122276.86, median=-52403237.96, weight=0.31, threshold=134718206.33, original=141719038.90, new=82314968.37
Mitigated agent 0: deviation=359623749.63, median=-57628091.62, weight=0.70, threshold=108088644.48, original=301995658.01, new=50460552.86
Mitigated agent 0: deviation=361093694.95, median=-52504959.59, weight=0.71, threshold=103780144.67, original=308588735.36, new=51275185.08
Mitigated agent 0: deviation=235717291.67, median=-36406810.48, weight=0.51, threshold=115725931.90, original=199310481.20, new=79319121.43
Mitigated agent 0: deviation=75820906.87, median=15089807.87, weight=0.44, threshold=42208424.17, original=-60731099.00, new=-27118616.30
Mitigated agent 0: deviation=102868379.74, median=24466550.37, weight=0.59, threshold=42209248.02, original=-78401829.38, new=-17742697.65
Mitigated agent 0: deviation=80942529.62, median=16313412.39, weight=0.48, threshold=42208234.25, original=-64629117.23, new=-25894821.85
Mitigated agent 0: deviation=256846167.29, median=-25779014.98, weight=0.31, threshold=177253063.86, original=231067152.30, new=151474048.88
Mitigated agent 0: deviation=308099361.11, median=-30814883.98, weight=0.17, threshold=257185638.54, original=277284477.13, new=226370754.56
Mitigated agent 0: deviation=287941618.52, median=-24040751.15, weight=0.27, threshold=211376938.53, original=263900867.38, new=187336187.39
Mitigated agent 2: deviation=274739972.74, median=17042752.86, weight=0.13, threshold=238838085.67, original=-257697219.88, new=-221795332.81
Mitigated agent 0: deviation=263312405.55, median=-23305682.93, weight=0.25, threshold=196314523.68, original=240006722.62, new=173008840.75
Mitigated agent 0: deviation=244451167.59, median=-16952822.29, weight=0.23, threshold=187967903.21, original=227498345.30, new=171015080.92
Mitigated agent 0: deviation=180750392.81, median=24887093.32, weight=0.02, threshold=177269120.42, original=-155863299.49, new=-152382027.10
Mitigated agent 3: deviation=105534137.17, median=36529421.00, weight=0.64, threshold=37619649.63, original=-69004716.16, new=-1090228.63
Mitigated agent 3: deviation=165203284.50, median=-75566331.78, weight=0.17, threshold=136541114.15, original=89636952.72, new=60974782.37
Mitigated agent 3: deviation=129301635.39, median=-35447615.33, weight=0.80, threshold=1453273.45, original=93854020.06, new=-9587288.25
Mitigated agent 0: deviation=55829853.27, median=11362435.42, weight=0.37, threshold=35393809.42, original=-44467417.85, new=-24031374.00
Mitigated agent 3: deviation=95369216.61, median=27337601.77, weight=0.26, threshold=70767278.94, original=-68031614.85, new=-43429677.17
Mitigated agent 0: deviation=223062340.03, median=23780678.47, weight=0.00, threshold=222739389.21, original=-199281661.57, new=-198958710.75
Mitigated agent 3: deviation=170388330.75, median=54077647.49, weight=0.61, threshold=66928183.38, original=-116310683.26, new=-12850535.89
Mitigated agent 0: deviation=113781657.86, median=86131365.39, weight=0.09, threshold=103776777.71, original=-27650292.46, new=-17645412.31
Mitigated agent 0: deviation=324310250.93, median=-30920201.70, weight=0.22, threshold=252817970.01, original=293390049.23, new=221897768.31
Mitigated agent 2: deviation=74346755.05, median=-29656986.34, weight=0.80, threshold=10302669.89, original=-104003741.39, new=-44526337.35
Mitigated agent 3: deviation=33322765.53, median=-22678037.72, weight=0.80, threshold=6357431.77, original=10644727.81, new=-16013484.61
Mitigated agent 0: deviation=158361574.68, median=-9025366.32, weight=0.56, threshold=70363632.03, original=-167386941.00, new=-79388998.36
Mitigated agent 0: deviation=112443811.03, median=-46935213.68, weight=0.07, threshold=104855024.24, original=65508597.35, new=57919810.56
Mitigated agent 0: deviation=138782893.95, median=-100112100.24, weight=0.11, threshold=123932672.46, original=38670793.70, new=23820572.21
Mitigated agent 0: deviation=138539961.92, median=7095527.89, weight=0.19, threshold=111831887.73, original=145635489.82, new=118927415.62
Mitigated agent 0: deviation=79387929.75, median=55515827.95, weight=0.33, threshold=53331225.71, original=-23872101.79, new=2184602.24
Mitigated agent 0: deviation=47037954.07, median=26233605.80, weight=0.62, threshold=17770842.22, original=-20804348.27, new=8462763.58
Mitigated agent 0: deviation=107345460.05, median=6032465.73, weight=0.33, threshold=71822187.40, original=113377925.78, new=77854653.13
Mitigated agent 2: deviation=71869048.18, median=6032465.73, weight=0.00, threshold=71822187.40, original=-65836582.45, new=-65789721.67
Mitigated agent 0: deviation=366696830.51, median=-35743561.33, weight=0.02, threshold=359318598.67, original=-402440391.83, new=-395062160.00
Mitigated agent 0: deviation=44452473.11, median=10568900.86, weight=0.78, threshold=9590740.88, original=-33883572.25, new=978159.98
Mitigated agent 0: deviation=67829810.66, median=25338130.34, weight=0.44, threshold=37754989.04, original=-42491680.32, new=-12416858.70
Mitigated agent 2: deviation=320263441.96, median=5712107.58, weight=0.03, threshold=311401721.66, original=-314551334.38, new=-305689614.08
Mitigated agent 2: deviation=144480799.30, median=-10590600.06, weight=0.51, threshold=70875657.99, original=133890199.25, new=60285057.93
Mitigated agent 0: deviation=68432803.43, median=-34753048.28, weight=0.42, threshold=39808527.18, original=33679755.15, new=5055478.89
Mitigated agent 0: deviation=321127706.95, median=-22078586.99, weight=0.17, threshold=267636256.15, original=-343206293.93, new=-289714843.13
Mitigated agent 2: deviation=453697765.12, median=-22078586.99, weight=0.41, threshold=267636256.15, original=431619178.14, new=245557669.16
Mitigated agent 2: deviation=259491091.42, median=-27298219.88, weight=0.44, threshold=145731266.35, original=232192871.53, new=118433046.47
Mitigated agent 0: deviation=33235180.97, median=34256233.15, weight=0.80, threshold=2589324.01, original=67491414.12, new=40903269.34
Mitigated agent 0: deviation=268452330.45, median=71046909.18, weight=0.02, threshold=263118064.11, original=339499239.62, new=334164973.28
Mitigated agent 1: deviation=75620138.09, median=-113512150.85, weight=0.00, threshold=75527617.72, original=-37892012.76, new=-37984533.14
Mitigated agent 4: deviation=109323829.46, median=-113512150.85, weight=0.31, threshold=75527617.72, original=-4188321.39, new=-37984533.14
Mitigated agent 3: deviation=325999726.33, median=139937340.34, weight=0.55, threshold=146223833.88, original=-186062385.99, new=-6286493.54
Mitigated agent 3: deviation=210727885.36, median=-68506105.64, weight=0.71, threshold=60870008.00, original=142221779.72, new=-7636097.64
Mitigated agent 2: deviation=89616903.85, median=29007418.11, weight=0.57, threshold=38919293.61, original=-60609485.74, new=-9911875.50
Mitigated agent 3: deviation=498869194.56, median=-160523765.58, weight=0.48, threshold=259469972.05, original=338345428.98, new=98946206.46
Mitigated agent 0: deviation=138809143.09, median=-96414068.38, weight=0.80, threshold=23010414.14, original=42395074.71, new=-68652239.76
Mitigated agent 0: deviation=118674340.84, median=65455172.73, weight=0.80, threshold=22249449.39, original=-53219168.11, new=41720304.56
Mitigated agent 2: deviation=29730378.93, median=9833627.15, weight=0.80, threshold=3442369.52, original=-19896751.78, new=3887551.36
Mitigated agent 4: deviation=281018872.94, median=22303.25, weight=0.14, threshold=242739443.76, original=-280996569.69, new=-242717140.51
Mitigated agent 0: deviation=337673543.00, median=22303.25, weight=0.28, threshold=242739443.76, original=337695846.25, new=242761747.02
Mitigated agent 3: deviation=176213655.61, median=55737880.17, weight=0.23, threshold=135000191.24, original=-120475775.44, new=-79262311.07
Mitigated agent 2: deviation=72148486.32, median=-22630063.50, weight=0.11, threshold=63874886.36, original=49518422.82, new=41244822.86
Mitigated agent 3: deviation=349.40, median=-14.74, weight=0.77, threshold=80.12, original=334.66, new=65.39
Mitigated agent 3: deviation=132.83, median=29.65, weight=0.12, threshold=116.81, original=-103.18, new=-87.16
Mitigated agent 3: deviation=173.34, median=35.66, weight=0.30, threshold=121.50, original=-137.68, new=-85.85
Mitigated agent 3: deviation=199.39, median=40.94, weight=0.42, threshold=116.53, original=-158.45, new=-75.59
Mitigated agent 3: deviation=191.46, median=43.28, weight=0.40, threshold=115.47, original=-148.17, new=-72.19
Mitigated agent 3: deviation=150.86, median=41.97, weight=0.28, threshold=108.53, original=-108.88, new=-66.56
Mitigated agent 0: deviation=112.53, median=-29.38, weight=0.06, threshold=105.44, original=-141.92, new=-134.82
Mitigated agent 0: deviation=158.17, median=-27.09, weight=0.32, threshold=107.60, original=-185.26, new=-134.69
Mitigated agent 0: deviation=159.18, median=-26.22, weight=0.29, threshold=113.56, original=-185.40, new=-139.78
Mitigated agent 0: deviation=142.88, median=-24.14, weight=0.17, threshold=118.83, original=-167.02, new=-142.97
Mitigated agent 0: deviation=123.90, median=-23.27, weight=0.01, threshold=122.90, original=-147.17, new=-146.17
Mitigated agent 2: deviation=323356.79, median=107192.47, weight=0.02, threshold=317541.46, original=-216164.33, new=-210349.00
Mitigated agent 2: deviation=350014.78, median=110871.69, weight=0.23, threshold=270883.92, original=-239143.09, new=-160012.23
Mitigated agent 2: deviation=371584.60, median=115650.67, weight=0.40, threshold=224222.63, original=-255933.94, new=-108571.96
Mitigated agent 2: deviation=329003.84, median=102476.36, weight=0.46, threshold=177301.62, original=-226527.48, new=-74825.26
Mitigated agent 2: deviation=225448.24, median=70680.95, weight=0.42, threshold=130636.57, original=-154767.29, new=-59955.62
Mitigated agent 2: deviation=100784.81, median=31795.76, weight=0.17, threshold=83979.03, original=-68989.04, new=-52183.27
Mitigated agent 2: deviation=78380.67, median=-25128.36, weight=0.80, threshold=9343.55, original=53252.30, new=-9452.23
Mitigated agent 2: deviation=156459.00, median=-50539.90, weight=0.64, threshold=56017.97, original=105919.10, new=5478.07
Mitigated agent 2: deviation=183349.39, median=-58865.84, weight=0.44, threshold=102679.26, original=124483.55, new=43813.42
Mitigated agent 2: deviation=177220.34, median=-55974.53, weight=0.16, threshold=149084.59, original=121245.81, new=93110.06
Mitigated agent 0: deviation=318360.90, median=97055.95, weight=0.20, threshold=253922.22, original=-221304.95, new=-156866.27
Mitigated agent 0: deviation=350622.40, median=109467.90, weight=0.27, threshold=257694.33, original=-241154.51, new=-148226.44
Mitigated agent 3: deviation=847933.81, median=-268861.38, weight=0.80, threshold=30290.14, original=579072.43, new=-99274.62
Mitigated agent 2: deviation=3728271.88, median=1427194.07, weight=0.80, threshold=47875.50, original=-2301077.81, new=681539.69
Mitigated agent 2: deviation=4166007.34, median=1421796.44, weight=0.51, threshold=2024633.20, original=-2744210.90, new=-602836.76
Mitigated agent 3: deviation=45150066.48, median=2650694.88, weight=0.14, threshold=38852266.68, original=-42499371.60, new=-36201571.81
Mitigated agent 0: deviation=322689836.72, median=-52936946.59, weight=0.27, threshold=236644954.19, original=-375626783.31, new=-289581900.78
Mitigated agent 3: deviation=50359179.14, median=19578131.57, weight=0.80, threshold=5260707.08, original=-30781047.57, new=9506295.74
Mitigated agent 3: deviation=292937668.64, median=3355767.86, weight=0.62, threshold=112319785.59, original=-289581900.78, new=-108964017.73
Mitigated agent 3: deviation=89553866.80, median=-65418012.63, weight=0.80, threshold=518210.38, original=24135854.17, new=-47507239.27
Mitigated agent 0: deviation=335859439.18, median=194374551.39, weight=0.59, threshold=136074049.81, original=-141484887.78, new=58300501.59
Mitigated agent 0: deviation=204912117.71, median=-40284560.73, weight=0.30, threshold=142625678.71, original=-245196678.44, new=-182910239.44
Mitigated agent 3: deviation=239198060.05, median=-40284560.73, weight=0.40, threshold=142625678.71, original=198913499.32, new=102341117.98
Mitigated agent 0: deviation=312270519.58, median=-4962799.49, weight=0.53, threshold=146342432.25, original=307307720.09, new=141379632.76
Mitigated agent 3: deviation=285554132.22, median=-4962799.49, weight=0.49, threshold=146342432.25, original=-290516931.71, new=-151305231.74
Mitigated agent 2: deviation=44741091.17, median=-26837399.30, weight=0.80, threshold=1867533.99, original=-71578490.46, new=-35785617.53
Mitigated agent 3: deviation=65843052.67, median=20059068.05, weight=0.34, threshold=43773601.25, original=-45783984.62, new=-23714533.20
Mitigated agent 3: deviation=159338399.65, median=-50453141.30, weight=0.25, threshold=119685073.67, original=108885258.35, new=69231932.37
Mitigated agent 0: deviation=285558658.42, median=658738.17, weight=0.16, threshold=240178837.93, original=286217396.59, new=240837576.10
Mitigated agent 3: deviation=292241501.73, median=658738.17, weight=0.18, threshold=240178837.93, original=-291582763.56, new=-239520099.77
Mitigated agent 0: deviation=307325198.18, median=82144.32, weight=0.76, threshold=72651954.41, original=-307243053.86, new=-72569810.09
Mitigated agent 3: deviation=317000546.66, median=82144.32, weight=0.77, threshold=72651954.41, original=317082690.98, new=72734098.73
Mitigated agent 0: deviation=204297463.89, median=-5281146.62, weight=0.30, threshold=142566872.98, original=199016317.27, new=137285726.36
Mitigated agent 3: deviation=192630727.68, median=-5281146.62, weight=0.26, threshold=142566872.98, original=-197911874.29, new=-147848019.59
Mitigated agent 0: deviation=202939504.93, median=5903846.70, weight=0.05, threshold=192754862.47, original=-197035658.23, new=-186851015.77
Mitigated agent 0: deviation=243099652.68, median=-1124125.75, weight=0.80, threshold=31400980.93, original=241975526.92, new=47495804.78
Mitigated agent 3: deviation=246230674.63, median=-1124125.75, weight=0.80, threshold=31400980.93, original=-247354800.38, new=-50370260.68
Mitigated agent 7: deviation=437005558.77, median=-114629865.04, weight=0.36, threshold=279843436.44, original=322375693.73, new=165213571.40
Mitigated agent 7: deviation=35640178.95, median=-2157664.31, weight=0.08, threshold=32811888.72, original=-37797843.26, new=-34969553.03
Mitigated agent 0: deviation=183454938.58, median=-2157664.31, weight=0.80, threshold=32811888.72, original=181297274.27, new=34533323.41
Mitigated agent 3: deviation=151147213.69, median=-2157664.31, weight=0.78, threshold=32811888.72, original=-153304878.00, new=-34969553.03
Mitigated agent 3: deviation=252858131.42, median=-3369716.84, weight=0.04, threshold=243398185.28, original=-256227848.27, new=-246767902.13
Mitigated agent 0: deviation=335555197.08, median=-800015.66, weight=0.80, threshold=30844118.49, original=-336355212.73, new=-67911055.07
Mitigated agent 3: deviation=327625815.52, median=-800015.66, weight=0.80, threshold=30844118.49, original=326825799.86, new=64725147.45
Mitigated agent 4: deviation=430397928.65, median=-94996735.37, weight=0.00, threshold=429977230.42, original=335401193.28, new=334980495.05
Mitigated agent 7: deviation=111615079.78, median=4833822.48, weight=0.23, threshold=85573745.47, original=116448902.25, new=90407567.95
Mitigated agent 3: deviation=120170039.47, median=4833822.48, weight=0.29, threshold=85573745.47, original=-115336217.00, new=-80739923.00
Mitigated agent 3: deviation=339677036.72, median=466572.13, weight=0.20, threshold=271965653.67, original=-339210464.59, new=-271499081.53
Mitigated agent 3: deviation=408049255.82, median=-199951843.57, weight=0.32, threshold=277362476.98, original=208097412.25, new=77410633.41
Mitigated agent 7: deviation=284207449.58, median=-7051802.31, weight=0.38, threshold=175519497.16, original=-291259251.89, new=-182571299.47
Mitigated agent 3: deviation=246886396.54, median=-7051802.31, weight=0.29, threshold=175519497.16, original=239834594.24, new=168467694.85
Mitigated agent 0: deviation=495956754.78, median=165213571.40, weight=0.15, threshold=421454347.77, original=-330743183.39, new=-256240776.37
Mitigated agent 7: deviation=143043108.77, median=4640214.73, weight=0.67, threshold=47133975.91, original=-138402894.04, new=-42493761.18
Mitigated agent 0: deviation=110617454.54, median=4640214.73, weight=0.57, threshold=47133975.91, original=-105977239.81, new=-42493761.18
Mitigated agent 3: deviation=233223210.71, median=4640214.73, weight=0.80, threshold=47133975.91, original=237863425.44, new=51774190.64
Mitigated agent 4: deviation=417452351.86, median=-82471856.81, weight=0.21, threshold=330212586.11, original=334980495.05, new=247740729.30
Mitigated agent 6: deviation=370523993.87, median=-82471856.81, weight=0.11, threshold=330212586.11, original=288052137.06, new=247740729.30
Mitigated agent 0: deviation=288817476.06, median=70374800.69, weight=0.63, threshold=105537490.86, original=-218442675.37, new=-35162690.17
Mitigated agent 0: deviation=205038573.42, median=-100008040.70, weight=0.21, threshold=162229424.79, original=105030532.73, new=62221384.09
Mitigated agent 3: deviation=421454347.77, median=-256240776.37, weight=0.77, threshold=97475960.04, original=165213571.40, new=-158764816.34
Mitigated agent 3: deviation=154351082.63, median=54343041.94, weight=0.23, threshold=118175132.29, original=-100008040.70, new=-63832090.36
Mitigated agent 7: deviation=270462749.37, median=-12388084.38, weight=0.36, threshold=174437650.44, original=258074664.99, new=162049566.06
Mitigated agent 3: deviation=326495980.09, median=-12388084.38, weight=0.47, threshold=174437650.44, original=-338884064.47, new=-186825734.82
Mitigated agent 0: deviation=176453061.19, median=-102289910.31, weight=0.17, threshold=146494932.51, original=74163150.88, new=44205022.21
Mitigated agent 3: deviation=179291341.83, median=118130464.63, weight=0.80, threshold=3023261.49, original=-61160877.20, new=82272196.27
Mitigated agent 3: deviation=81134574.17, median=62950343.48, weight=0.17, threshold=67079145.06, original=-18184230.69, new=-4128801.58
Mitigated agent 0: deviation=189964152.80, median=-96204534.01, weight=0.65, threshold=67219820.14, original=93759618.80, new=-28984713.86
Mitigated agent 3: deviation=197556476.29, median=-65112432.82, weight=0.80, threshold=33287767.29, original=132444043.47, new=-25601137.57
Mitigated agent 3: deviation=306.97, median=-7.69, weight=0.70, threshold=93.22, original=299.29, new=85.53
Mitigated agent 3: deviation=326.55, median=-11.09, weight=0.77, threshold=75.29, original=315.46, new=64.20
Mitigated agent 3: deviation=146.96, median=-8.20, weight=0.41, threshold=87.02, original=138.76, new=78.82
Mitigated agent 0: deviation=209.73, median=-42.16, weight=0.61, threshold=82.24, original=167.57, new=40.08
Mitigated agent 3: deviation=209.50, median=34.60, weight=0.17, threshold=174.87, original=-174.89, new=-140.27
Mitigated agent 3: deviation=187.23, median=52.30, weight=0.05, threshold=178.60, original=-134.93, new=-126.30
Mitigated agent 0: deviation=271.09, median=-58.64, weight=0.65, threshold=94.79, original=212.45, new=36.15
Mitigated agent 0: deviation=259.29, median=-60.02, weight=0.58, threshold=108.15, original=199.27, new=48.13
Mitigated agent 0: deviation=180.08, median=-61.53, weight=0.36, threshold=114.46, original=118.54, new=52.92
Mitigated agent 3: deviation=171.93, median=9.63, weight=0.21, threshold=135.56, original=181.57, new=145.20
Mitigated agent 3: deviation=203.10, median=4.81, weight=0.41, threshold=120.50, original=207.91, new=125.31
Mitigated agent 3: deviation=202.96, median=2.03, weight=0.43, threshold=116.19, original=204.98, new=118.21
Mitigated agent 3: deviation=156.63, median=1.67, weight=0.29, threshold=111.91, original=158.30, new=113.59
Mitigated agent 0: deviation=216.02, median=-46.17, weight=0.08, threshold=199.67, original=169.85, new=153.50
Mitigated agent 0: deviation=250.59, median=-51.04, weight=0.27, threshold=182.89, original=199.55, new=131.85
Mitigated agent 0: deviation=271.60, median=-56.15, weight=0.33, threshold=181.11, original=215.46, new=124.97
Mitigated agent 0: deviation=246.97, median=-59.62, weight=0.21, threshold=194.60, original=187.36, new=134.99
Mitigated agent 0: deviation=131.44, median=-22.01, weight=0.23, threshold=101.53, original=109.43, new=79.52
Mitigated agent 0: deviation=135.76, median=-22.89, weight=0.03, threshold=131.42, original=112.87, new=108.53
Mitigated agent 0: deviation=318.56, median=4.87, weight=0.02, threshold=313.25, original=-313.69, new=-308.37
Mitigated agent 0: deviation=327.00, median=5.52, weight=0.06, threshold=308.71, original=-321.48, new=-303.18
Mitigated agent 0: deviation=332.00, median=6.67, weight=0.09, threshold=302.51, original=-325.33, new=-295.85
Mitigated agent 0: deviation=324.83, median=5.71, weight=0.09, threshold=294.20, original=-319.11, new=-288.48
Mitigated agent 0: deviation=306.46, median=4.86, weight=0.11, threshold=273.61, original=-301.61, new=-268.75
Mitigated agent 0: deviation=283.79, median=4.17, weight=0.10, threshold=256.15, original=-279.62, new=-251.98
Mitigated agent 0: deviation=252.14, median=2.98, weight=0.07, threshold=235.43, original=-249.16, new=-232.45
Mitigated agent 0: deviation=217.42, median=1.51, weight=0.01, threshold=215.38, original=-215.91, new=-213.87
Mitigated agent 0: deviation=677.48, median=-80.81, weight=0.13, threshold=586.16, original=596.66, new=505.35
Mitigated agent 0: deviation=698.50, median=-85.99, weight=0.10, threshold=629.99, original=612.51, new=543.99
Mitigated agent 4: deviation=97.17, median=-1.94, weight=0.02, threshold=94.88, original=-99.12, new=-96.82
Mitigated agent 0: deviation=683.77, median=-91.92, weight=0.04, threshold=658.96, original=591.85, new=567.04
Mitigated agent 0: deviation=690.15, median=-98.31, weight=0.00, threshold=688.61, original=591.84, new=590.30
Mitigated agent 0: deviation=751.55, median=-110.33, weight=0.00, threshold=747.90, original=641.22, new=637.57
Mitigated agent 0: deviation=780.94, median=-115.72, weight=0.00, threshold=777.55, original=665.22, new=661.83
